"and Weatherald starts with a boundary, rocks back and dispatches this short of length delivery to the deep midwicket boundary"
"a full toss outside off, but taken from there and smashed to on the leg side, bisecting long-on and deep midwicket"
"fuller outside off, stays back and cuts it up over backward point"
"fuller on the stumps, punched towards long-on, Short is scampering back for the second but he was never going to make it, despite the dive and the throw being wide"
"a low full toss on the pads and helped over deep-backward square leg, gets to his fifty off 36 balls"
"short outside off, stays leg side of the ball and cuts it through point for four"
"fuller around off, goes deep and looks to target the deep midwicket region this time but doesn't get it from the middle of the bat. A regulation catch for Webster"
"a full toss outside off, hits it towards midwicket for a couple"
"fuller on the stumps, pushed towards long-off for one"
"length ball on middle and leg, defended towards short midwicket"
"length outside off, skips down, gives himself some room and smashes it through covers"
a bit of leading edge towards cover-point this time as Harris was looking to work this length ball towards the leg side
"loses his off stump this time. Was length ball at the off stump, Harris skips down, gives himself room and looks to smash it inside out, misses and the off stump is out of its groove"
"length ball on the pads from around the wicket, tucked away on the leg side"
"length outside off, moves across and lobs it up and over the keeper, Neser puts in the sprint from fine leg but cannot stop it"
""
a yorker on the middle stump and the stumps are disturbed. Harper backs away this time and looks to hit it through the off side but misses. Renegades in a bit of trouble here
"short of length outside off, scrambled seam. Webster looks to push at it and gets beaten"
"length ball around off, nudged towards third man"
"length ball around off and middle, defended towards cover-point"
"fuller outside off, looks to sweep, gets some glove on it and fine as well. Four to start the over with"
uses his feet to work it towards midwicket
"length outside off, goes for the cut but cannot beat the point fielder"
"fuller on the pads, defends it on the leg side"
"a googly, pitching on the stumps and leaving the batsman, Marsh had no idea"
"length ball on the pads, tucked away towards deep square leg"
length ball at the stumps punched back. Siddle stops it in his followthrough
"short of length at the batsman, dabbed towards backward point"
"length ball at the stumps, mistimes the pull on the leg side, inner half and onto the leg"
"a crowd catch, fuller on the stumps, flicked into the ground and to Rashid at short midwicket"
"fuller around off, drives it between the non-striker and mid-off for four"
"fuller around off, goes aerial this time, didn't get it from the meat of the bat but enough to clear mid-off, back-to-back boundaries after four dots"
length ball on the leg stump and picked up over backward square leg for four
"length ball at the stumps, stays back and smashes it over deep square leg, miles into the stands"
"short of length outside off, stays back and punches it through cover-point for another four"
"a full toss on the pads, misses out this time. Mistimed towards deep midwicket for one"
"fuller outside off and creamed through extra cover, 19 from the over with one ball to go"
"length ball on the pads, flicked towards short fine leg"
"length ball on the stumps, flicked towards square leg"
"length ball on the stumps, tucked away towards midwicket"
"length ball around off, stays back and punches it towards the bowler"
"fuller on the pads, flicked in front of deep square leg"
"fuller and wider outside off, looks to hit it too hard and ends up playing over it"
"length but way down the leg side, sloppy from the keeper as well who lefts it through his legs"
"fuller on the stumps, finds mid-on with the flick"
"length ball outside off, goes back and cuts it towards sweeper cover"
"length ball at the stumps, punched past the non-striker, Rashid looks to make the stop but slips while moving across"
"length ball on the pads, flicked towards deep square leg"
"length ball on the stumps, comes down the ground and looks to push on the leg side, misses and is rapped on the pads"
"a googly from outside off, Webster was looking to lap it fine, exposing his stumps. The ball <i>just</i> misses the off stump"
skips down and works this length ball towards square leg
"fuller on the pads, clipped away towards midwicket"
"fuller around off, pushed towards long-off"
"down the track but Head shortens his length, flicked in front of square leg"
"length outside off, late-cuts it towards short third man"
down the track and digs it out towards long-on
"length ball around middle and leg, pushed towards the right of Head who makes a sliding stop"
"length ball angling across, Marsh looks to hit it on the up, fails to connect"
"length again, just outside off, goes for the pull but misses again"
"length ball on the pads, looks to pull it fine but no connection once more. Hit on the thigh"
"length ball around off, looks to cut but ends up chopping into the ground, dribbles towards point"
"length outside off, good pace and bounce, another play-and-miss"
"short of length at the batsman, pushes it towards midwicket, just that solitary single from the over"
"length ball on the pads, misses the flick"
"Head fetches the reward for all the pressure Agar created in the last over. Marsh skips down and ends up yorking himself, loses his middle stump"
"fuller around off, comes forward and drives it towards long-on"
"fuller on the pads, and clipped fine, short fine leg puts in the chase to keep it to two"
"length ball on the pads, tucked away towards midwicket"
"length ball around off, goes back and across and turns it towards square leg"
"length ball on middle and leg, helped behind square leg"
"length ball on middle and leg once again, Webster goes for the pull and gets right, over deep-backward square leg for a six"
"fuller around off, flicked in front of square leg"
"length ball around off, pushed towards backward point"
"length ball around off, tucked toward short midwicket"
that jumps off from a length to surprise Nabi and hit him on the glove
"down the track but Head shortens his length, flicked towards deep square leg"
"length ball on the pads, flicked towards short fine leg"
"length but way down the leg side, Webster looks to give it his all but it beats him as well as the keeper"
"fuller around off, hit hard but back towards the bowler"
uses his feet and clips it towards wide long-on for a couple of runs
"uses of feet again, hits it straight towards long-on this time"
"fuller on the stumps, sweeps it towards short fine leg"
"length ball at the stumps, defended on the off side from the back foot"
"fuller outside off, mistimes the slog sweep towards the right of long-on"
uses his feet and drives it towards long-off
"a brilliant catch from Siddle, running to his right and tumbling in the end. Nabi looked to heave it over deep midwicket, got a top edge towards backward point, Siddle sprinted from short third man to complete the catch"
"a low full toss outside off, smashes it towards long-on, beats the man at the boundary for four"
""
"length, way outside off, goes for the cut but misses"
"length ball on the pads, tucked away behind square leg"
short of length and slapped towards midwicket for one
"fuller outside off, looks to go over long-off but miscues it towards sweeper cover where Wells takes a comfortable catch"
"length outside off, opens the face of the bat for a single to third man"
"fuller around off, pushes at it but straight towards backward point"
"a googly, fuller on the stumps. Webster misses the flick and is struck right in front. Up goes the finger and Webster falls one short of fifty. Would have gone on to hit the leg stump in my opinion"
another wrong'un. Goes back and flicks it towards backward square leg
"fuller around off, pushes it back towards the bowler"
"googly again, goes back and cuts it towards cover"
"a leg break, sharp and spinning away, Samit cannot connect the cut"
"fuller around off, nudges it towards long-on"
"length ball outside off, gives himself a bit room, waits for it before cutting it past point"
"short of length at the batsman, mistimes the pull towards short midwicket"
"length outside off, backs away and cuts it towards sweeper cover"
"fuller on the stumps, hits it inside out towards mid-off for a quick single"
"short of length at the batsman, looks to swat away but gets an inside edge over the stumps. One boucne to the keeper"
short and pulled towards deep square leg this time
"fuller around off, drilled towards mid-off"
"pitched up on the stumps, backs away and flicks but ends up hitting straight to Weatherald at short midwicket"
"length ball around off, punched towards mid-off for a quick single"
"fuller outside off, looks to play a sweep but misses"
"fuller around off, hits it towards mid-off"
"slower one around off, lofted towards long-off where Neser charges in, puts in the slide and takes it with reverse cups"
"a slow full toss on the pads, tucked away towards backward square leg"
"pins him in front with the slower full toss this time, Wildermuth looks to hit it on the leg side but is deceived by the lack of pace"
"another slower one, but down the leg side, brushes the pads and beats short fine leg"
"short of length down the leg side, helps it towards fine leg but has decided to come back for the second, well short of his crease as Nielsen collects the throw and breaks the stumps"
